intervention_id,date_intervention,machine_id,type_intervention,duree_heures,technicien_id,cout_eur,description_panne,pieces_changees
INT_00015,2024-01-01T06:29:29,M004,PREVENTIVE,2.36,TECH_02,481.32,Ouvrir hauteur fixe curiosité certainement crise cesse jusque.,
INT_00016,2024-01-24T17:24:29,M005,CORRECTIVE,6.9,TECH_03,1607.75,En prendre soldat le.,cinquante / pareil
INT_00017,2024-01-16T14:58:06,M002,CORRECTIVE,8.65,TECH_04,2107.29,Mesure son marché oncle combat garder ainsi dimanche figure certain.,hauteur / quand
INT_00018,2024-01-27T22:23:50,M005,CORRECTIVE,4.0,TECH_01,2818.52,Beau souvent bord moyen debout tracer agir surtout.,partie / delà
INT_00019,2024-01-21T15:58:43,M001,CORRECTIVE,10.33,TECH_04,2039.36,Peser conduire entre debout sol commencement corps pensée avance peur.,blanc / pauvre
INT_00020,2024-01-01T15:52:25,M002,PREVENTIVE,1.24,TECH_01,545.54,Comprendre servir penser ministre séparer.,
INT_00021,2024-01-10T13:56:59,M002,CORRECTIVE,2.29,TECH_01,1239.37,Avance terrain douceur où.,second / haïr
INT_00022,2024-01-21T14:12:29,M001,CORRECTIVE,7.95,TECH_05,2105.96,Rose animer inspirer chaque justice année quelque.,camarade / voilà
INT_00023,2024-01-07T18:57:17,M004,CORRECTIVE,5.05,TECH_05,3035.43,Vague accomplir pur supposer position souvenir être déposer coûter allumer.,long / aussi
INT_00024,2024-01-20T09:20:28,M004,PREVENTIVE,1.78,TECH_01,502.96,Presser glace entrer aussi énergie scène dominer transformer.,
INT_00025,2024-01-15T06:47:43,M004,CORRECTIVE,9.71,TECH_03,1963.82,Souffler extraordinaire avance protéger est.,poète / etc
INT_00026,2024-01-16T15:36:25,M005,CORRECTIVE,5.4,TECH_03,2516.02,Amener forcer courage soin tracer se.,eaux / encore
INT_00027,2024-01-09T01:20:26,M005,PREVENTIVE,1.26,TECH_05,534.37,Éclater à en pas couper monde.,
INT_00028,2024-01-30T19:21:41,M002,CORRECTIVE,7.51,TECH_03,2103.82,Essuyer demande armer résultat debout visage vague exprimer douleur.,un / noir
INT_00029,2024-01-30T08:18:51,M005,PREVENTIVE,2.53,TECH_04,425.47,Odeur noir son agiter acte résultat égal.,
INT_00030,2024-01-17T00:41:03,M002,CORRECTIVE,9.82,TECH_02,1633.56,Juge approcher preuve gros déposer cause fois accent.,mensonge / coucher
INT_00031,2024-01-26T10:56:42,M002,CORRECTIVE,7.75,TECH_04,2107.4,Devant partager voici soit exposer prince promettre tuer flamme quelque.,air / enfoncer
INT_00032,2024-01-16T10:08:00,M001,CORRECTIVE,7.98,TECH_02,2097.12,Blanc bras payer nu changer.,système / début
INT_00033,2024-01-04T06:06:59,M004,CORRECTIVE,2.84,TECH_01,1847.49,Fenêtre étouffer obéir menacer occuper.,demander / absence
INT_00034,2024-01-10T02:39:23,M003,PREVENTIVE,1.62,TECH_01,629.66,Quelque semblable cabinet journal étranger imaginer éteindre tête.,
INT_00035,2024-01-23T06:18:00,M005,PREVENTIVE,1.53,TECH_01,569.19,Ton flot taire interrompre éviter aide foule sous paysan peuple.,
INT_00036,2024-01-23T18:04:05,M005,CORRECTIVE,5.52,TECH_01,1568.39,Pareil droit côte occuper groupe grâce souffrir sombre million réalité.,trésor / suivant
INT_00037,2024-01-31T21:23:38,M003,CORRECTIVE,8.14,TECH_02,2172.52,Chanter absolu sentier troisième.,précieux / défendre
INT_00038,2024-01-31T12:37:49,M003,PREVENTIVE,1.91,TECH_02,379.24,Avis ami décider repas établir droite ferme écraser détail.,
INT_00039,2024-01-14T19:06:09,M003,CORRECTIVE,4.03,TECH_04,2978.99,Camarade tapis traîner tranquille essayer aucun effacer nature examiner.,couleur / voyage
INT_00040,2024-01-15T20:13:29,M005,PREVENTIVE,2.63,TECH_04,339.24,Veiller armer parent sur violent prix étranger intérêt vieillard gouvernement.,
INT_00041,2024-01-28T05:44:35,M003,CORRECTIVE,7.26,TECH_02,1610.68,Porter note courage parfaitement apercevoir répéter air madame circonstance.,exécuter / contenir
INT_00042,2024-01-29T18:28:28,M001,PREVENTIVE,2.18,TECH_02,595.04,Asseoir magnifique discours gros effet appel second genou.,
INT_00043,2024-01-09T15:45:50,M003,PREVENTIVE,1.5,TECH_01,472.19,Écrire large répondre action compagnie commencement entraîner terminer peu.,
INT_00044,2024-01-26T08:32:39,M002,CORRECTIVE,6.19,TECH_04,2344.59,Quelque huit consentir consentir âme muet également.,cacher / diriger
INT_00045,2024-01-28T22:41:15,M003,CORRECTIVE,3.13,TECH_05,1538.11,Discuter an fixer vin hors animer rejoindre distinguer.,blanc / poser
INT_00046,2024-01-14T11:00:18,M005,CORRECTIVE,8.21,TECH_05,1343.91,Hiver oreille cri sept quelque.,défendre / remettre
INT_00047,2024-01-11T03:51:35,M004,PREVENTIVE,1.92,TECH_02,270.63,Parler bouche réclamer vaste subir mêler rêve goût peu événement un.,
INT_00048,2024-01-05T10:25:00,M002,CORRECTIVE,7.71,TECH_05,1727.39,Droite douleur front trente jeu différent mieux examiner.,continuer / bas
INT_00049,2024-01-07T22:59:43,M002,PREVENTIVE,2.12,TECH_01,490.28,Époque argent dimanche étudier quelqu'un avec.,
INT_00050,2024-01-04T18:37:44,M003,CORRECTIVE,2.07,TECH_01,2006.11,Nature choix intelligence affirmer nature sourire lueur cas charger étendre.,grandir / étonner
INT_00051,2024-01-25T20:10:47,M002,CORRECTIVE,5.6,TECH_04,1462.26,Demi plus chien police chant descendre travail.,intention / chercher
INT_00052,2024-01-16T21:05:12,M004,PREVENTIVE,1.55,TECH_01,530.03,Réclamer essuyer mois mariage vérité simplement moi siècle animal étranger.,
INT_00053,2024-01-28T04:36:58,M002,PREVENTIVE,1.87,TECH_04,489.7,Sien risquer rejoindre soumettre service et affirmer habiller danger affaire.,
INT_00054,2024-01-18T05:35:42,M004,PREVENTIVE,1.69,TECH_05,404.88,De arriver mode mal agir quant à parvenir inquiéter frais chaque.,
INT_00055,2024-01-26T18:17:36,M003,PREVENTIVE,1.88,TECH_05,606.99,Naturellement paysage puissance envoyer sens.,
INT_00056,2024-01-09T01:32:22,M002,CORRECTIVE,6.18,TECH_03,1882.25,Animal événement jouer vide recevoir étrange présent ainsi haïr.,chanter / roche
INT_00057,2024-01-22T05:25:31,M002,CORRECTIVE,6.85,TECH_04,2163.22,Long retourner intérieur métier empêcher capable poste.,coeur / habiller
INT_00058,2024-01-06T20:05:22,M003,CORRECTIVE,4.75,TECH_04,1658.38,Garçon gouvernement enfermer terme par moindre condition front.,souvenir / histoire
INT_00059,2024-01-09T15:23:58,M003,PREVENTIVE,1.65,TECH_03,362.27,Prière dame ventre trou juger apporter.,
INT_00060,2024-01-17T19:06:33,M004,CORRECTIVE,7.52,TECH_02,1851.69,Avenir place appartement fruit réel poitrine vif tombe discuter politique en.,trou / spectacle
INT_00061,2024-01-28T04:12:26,M005,CORRECTIVE,9.94,TECH_02,1739.69,Lune sien chercher musique livre fin pourtant bas.,ami / parent
INT_00062,2024-01-19T03:58:53,M004,PREVENTIVE,2.46,TECH_01,469.77,Anglais événement produire bas bord respirer clair distance soir.,
INT_00063,2024-01-22T11:03:40,M002,PREVENTIVE,2.0,TECH_02,468.53,Race herbe propre cruel désirer après d'abord avancer voyage.,
INT_00064,2024-01-29T10:57:32,M001,PREVENTIVE,1.81,TECH_01,619.84,Dur consulter silencieux jeunesse carte hasard.,
INT_00065,2024-01-13T07:39:07,M003,CORRECTIVE,6.4,TECH_01,1737.69,Ceci brûler y impossible ton commencer histoire devant.,reprendre / couleur
INT_00066,2024-01-14T06:06:01,M005,PREVENTIVE,1.14,TECH_03,448.11,Jeune respect découvrir éteindre casser saison entre étranger train somme.,
INT_00067,2024-01-20T08:02:46,M004,PREVENTIVE,2.39,TECH_03,461.91,Tache voiture au blanc forêt marche nord franchir dégager.,
INT_00068,2024-01-31T08:29:34,M003,PREVENTIVE,1.66,TECH_05,539.72,Adresser soldat maintenant occuper.,
INT_00069,2024-01-23T20:31:57,M001,CORRECTIVE,3.02,TECH_04,3384.0,Après effort plaindre inutile pur succès.,enfance / regarder
INT_00070,2024-01-09T10:27:28,M004,CORRECTIVE,9.51,TECH_05,2444.21,Accuser malheur argent plutôt triste sûr loi pain ramasser.,mon / maintenant
INT_00071,2024-01-02T20:29:55,M001,PREVENTIVE,2.26,TECH_05,361.29,Drame trou riche connaître mal commencer.,
INT_00072,2024-01-09T14:06:44,M002,CORRECTIVE,2.36,TECH_02,2088.39,Dire fermer toujours rocher immense réduire.,beaux / père
INT_00073,2024-01-21T08:50:14,M001,CORRECTIVE,8.7,TECH_01,1947.45,Dimanche corps bête bas humain.,offrir / dresser
INT_00074,2024-01-22T12:34:22,M001,CORRECTIVE,4.66,TECH_01,1847.02,Quarante machine voyage empêcher accompagner décrire remonter passion reprendre défaut.,considérer / crise
INT_00075,2024-01-05T17:34:01,M003,CORRECTIVE,4.78,TECH_03,2432.38,Frais juste devant conscience jardin.,résultat / ci
INT_00076,2024-01-30T19:21:58,M002,CORRECTIVE,4.0,TECH_03,2199.21,Mieux billet soudain ton inviter certes précéder partir.,reposer / verser
INT_00077,2024-01-09T05:08:53,M003,CORRECTIVE,5.81,TECH_05,3341.39,Mince face sur peser conseil.,vieux / répandre
INT_00078,2024-01-26T01:34:48,M003,PREVENTIVE,1.6,TECH_04,495.64,Mari anglais complet couleur journal froid pénétrer derrière endormir.,
INT_00079,2024-01-03T23:38:00,M004,PREVENTIVE,2.71,TECH_05,346.14,Réalité île admettre long en vouloir interroger garçon possible.,
INT_00080,2024-01-13T22:39:12,M002,PREVENTIVE,2.75,TECH_04,399.86,Manger autorité est amour noir général marier.,
INT_00081,2024-01-14T09:00:37,M001,CORRECTIVE,4.11,TECH_05,2540.6,Plaire hier parti obliger matin tantôt monde trembler voyage remplir.,dernier / quelque
INT_00082,2024-01-09T09:31:21,M004,CORRECTIVE,5.19,TECH_01,2224.81,Pays l'un dont mort désormais enlever sang glisser l'un.,curiosité / devoir
INT_00083,2024-01-14T06:57:25,M003,CORRECTIVE,6.27,TECH_01,2760.45,Apporter combien élément lors blond poésie.,craindre / étage
INT_00084,2024-01-23T15:13:23,M003,CORRECTIVE,2.87,TECH_01,1912.87,Dégager arrivée pourtant leur amener poésie.,jardin / odeur
INT_00085,2024-01-23T11:26:25,M005,PREVENTIVE,1.86,TECH_01,568.42,Fin annoncer barbe prendre avec chercher souvenir.,
INT_00086,2024-01-05T04:41:01,M002,PREVENTIVE,2.33,TECH_05,469.65,Devant hasard voler souvenir.,
INT_00087,2024-01-09T05:17:25,M001,CORRECTIVE,7.18,TECH_02,2724.04,Couper gens droite homme lieu franc croiser horizon paysage militaire.,d'autres / arrivée
INT_00088,2024-01-23T08:20:44,M003,PREVENTIVE,1.89,TECH_02,527.06,Jeu danser rêve retour important.,
INT_00089,2024-01-10T06:37:53,M003,CORRECTIVE,7.05,TECH_02,2486.19,Vieux consulter sorte port passé présence froid montagne ne.,morceau / animal
INT_00090,2024-01-03T14:08:24,M003,PREVENTIVE,2.88,TECH_03,490.41,Expérience inventer autrement gagner mensonge pauvre valeur gauche tout.,
INT_00091,2024-01-14T13:00:57,M002,PREVENTIVE,2.24,TECH_03,507.81,Pluie jamais science faute rentrer tantôt livre.,
INT_00092,2024-01-11T23:15:46,M004,CORRECTIVE,3.27,TECH_03,2281.35,Jeunesse jeunesse lentement mais moi porter doucement et.,lendemain / encore
INT_00093,2024-01-09T14:21:01,M002,CORRECTIVE,3.73,TECH_03,1757.79,Mari point revoir tendre contraire.,envie / nation
INT_00094,2024-01-13T20:13:02,M004,PREVENTIVE,1.44,TECH_03,462.0,Énergie sorte taire content ouvrir voisin annoncer.,
INT_00095,2024-01-18T15:38:24,M005,PREVENTIVE,0.75,TECH_05,516.2,Distinguer entrée confier savoir flot passé.,
INT_00096,2024-01-31T15:11:56,M004,CORRECTIVE,3.57,TECH_02,1683.12,Roi compagnie escalier vaste mieux tendre tenir réalité profond.,d'abord / comme
INT_00097,2024-01-29T09:50:03,M001,PREVENTIVE,1.68,TECH_05,490.87,Haut fumée réduire nom abri science livrer.,
INT_00098,2024-01-11T05:26:23,M005,CORRECTIVE,8.39,TECH_04,2230.31,Justice beau ci oncle sac transformer.,apprendre / grâce
INT_00099,2024-01-15T00:20:49,M003,PREVENTIVE,1.97,TECH_05,502.13,Public ensemble silence affirmer garçon si oser note terrible absence.,
INT_00100,2024-01-14T01:20:58,M005,PREVENTIVE,1.8,TECH_02,407.34,Sept qui coûter respect poche demain papa ancien plus.,
INT_00101,2024-01-11T14:17:07,M003,CORRECTIVE,7.62,TECH_01,2450.7,Confiance tâche aujourd'hui travers faveur facile ensemble.,lourd / saisir
INT_00102,2024-01-26T02:23:00,M001,CORRECTIVE,9.58,TECH_02,1722.17,Crise chemise autour acheter tapis lendemain quitter absence.,gloire / prouver
INT_00103,2024-01-07T18:53:47,M004,CORRECTIVE,5.6,TECH_03,1400.89,Sommeil essuyer enfermer creuser principe.,jaune / métier
INT_00104,2024-01-28T08:50:20,M003,PREVENTIVE,1.44,TECH_05,610.79,Campagne mort accompagner âme groupe feuille capable.,
INT_00105,2024-01-16T15:35:26,M001,CORRECTIVE,7.52,TECH_03,2261.86,Conversation avenir feu aide pourquoi éclater pourquoi ferme.,triste / bête
INT_00106,2024-01-08T16:57:27,M001,CORRECTIVE,8.64,TECH_03,2645.18,Beauté barbe croire réalité supposer rouge soit vieux environ erreur.,peine / vivant
INT_00107,2024-01-05T20:45:01,M003,PREVENTIVE,1.82,TECH_03,438.79,Direction reposer fin contenter remercier conduire aider corde.,
INT_00108,2024-01-08T21:36:44,M003,CORRECTIVE,6.72,TECH_02,1718.87,Rôle encore préparer un noire fermer.,puissant / réfléchir
INT_00109,2024-01-22T07:28:55,M001,CORRECTIVE,4.14,TECH_04,1348.44,Lourd rassurer l'une animer bruit.,auteur / réfléchir
INT_00110,2024-01-28T23:02:53,M005,CORRECTIVE,7.41,TECH_04,1615.67,Genre davantage empire histoire espace chambre.,supporter / alors
INT_00111,2024-01-12T19:48:05,M004,PREVENTIVE,2.22,TECH_03,492.46,Casser moins déposer huit asseoir colère père suivre.,
INT_00112,2024-01-17T09:39:24,M005,CORRECTIVE,9.96,TECH_04,2181.28,Paysage échapper cruel travailler port barbe cou votre preuve épaule.,éclairer / amuser
INT_00113,2024-01-02T22:45:13,M003,CORRECTIVE,3.45,TECH_02,1896.05,Nouveau théâtre jamais etc fixe seul rapport jouer travail assez passé.,où / service
INT_00114,2024-01-06T05:39:37,M005,CORRECTIVE,6.82,TECH_03,1723.88,Société vieux hésiter autrefois point brusquement représenter droite demande.,noir / juge
INT_00115,2024-01-20T10:54:27,M005,CORRECTIVE,7.05,TECH_02,1825.78,Usage vrai oeuvre revoir personnage pauvre quelque prix cerveau.,poids / pas
INT_00116,2024-01-09T01:51:08,M005,CORRECTIVE,6.29,TECH_05,2302.02,D'Abord aventure glisser enfant rendre ne caractère cerveau secours.,semaine / mariage
INT_00117,2024-01-10T15:13:30,M005,CORRECTIVE,6.53,TECH_05,1511.82,Plaisir toile marquer par porter tâche courant.,grandir / intention
INT_00118,2024-01-07T07:20:01,M002,CORRECTIVE,3.07,TECH_01,3148.72,Seigneur honneur mort vague demain flamme journal réflexion.,quatre / conversation
INT_00119,2024-01-16T00:19:47,M001,CORRECTIVE,2.68,TECH_02,2393.51,Occuper nécessaire observer accord réfléchir lune dehors tendre voilà.,protéger / nu
INT_00120,2024-01-23T06:26:23,M003,PREVENTIVE,2.05,TECH_04,423.1,Causer pour entre apercevoir projet papier ombre.,
INT_00121,2024-01-08T03:50:22,M001,PREVENTIVE,1.96,TECH_02,708.21,Résister difficile doute immobile ici exprimer donc.,
INT_00122,2024-01-15T22:17:40,M003,PREVENTIVE,2.73,TECH_02,388.39,Jeune fusil attendre espèce importer pencher.,
INT_00123,2024-01-22T04:36:58,M002,PREVENTIVE,2.28,TECH_02,503.31,Inviter tandis que imaginer violent sommeil descendre ceci détail retour dent.,
INT_00124,2024-01-27T23:01:39,M002,CORRECTIVE,5.61,TECH_03,1385.44,Traverser amuser enfermer maintenant nuage poser plus agir pensée faute.,réel / demain
INT_00125,2024-01-24T04:08:46,M001,PREVENTIVE,3.03,TECH_01,679.0,Jeune à problème existence briller moyen plante cuisine révéler.,
INT_00126,2024-01-27T16:35:50,M004,CORRECTIVE,4.3,TECH_02,2684.7,Fond troubler secours tout yeux je relation religion.,souffrance / dernier
INT_00127,2024-01-19T06:24:41,M004,CORRECTIVE,8.03,TECH_02,1928.98,Recueillir jeter joie lutte confiance.,métier / été
INT_00128,2024-01-19T19:33:22,M001,PREVENTIVE,2.63,TECH_02,481.22,Public puissant servir fumer français dehors déchirer mode.,
INT_00129,2024-01-16T21:06:46,M004,CORRECTIVE,6.58,TECH_04,1297.87,Depuis travail chaque retrouver certain politique.,échapper / quitter
INT_00130,2024-01-20T02:52:08,M005,CORRECTIVE,3.67,TECH_03,2339.25,Embrasser ombre franc faim salle mon ici rencontre de.,situation / profiter
INT_00131,2024-01-29T11:14:21,M004,PREVENTIVE,2.44,TECH_05,452.44,Divers user désir deviner moindre esprit bord.,
INT_00132,2024-01-12T09:58:42,M002,PREVENTIVE,2.6,TECH_03,332.58,Penser fidèle arme mauvais amuser.,
INT_00133,2024-01-01T01:51:15,M005,CORRECTIVE,4.08,TECH_04,2675.77,Soi où sûr terreur coin accrocher.,briser / visible
INT_00134,2024-01-12T04:03:18,M001,PREVENTIVE,2.26,TECH_02,456.11,Résister nom saint examiner silence.,
INT_00135,2024-01-11T06:06:12,M001,PREVENTIVE,2.19,TECH_01,573.18,Ajouter partager fort grain genre apparence toucher objet.,
INT_00136,2024-01-19T15:28:11,M003,CORRECTIVE,9.08,TECH_04,1413.3,Reposer engager riche affaire donc.,empire / diriger
INT_00137,2024-01-14T20:00:26,M002,PREVENTIVE,2.42,TECH_04,533.75,Toujours parvenir envie position pourtant chasser.,
INT_00138,2024-01-13T16:06:35,M001,CORRECTIVE,8.31,TECH_04,1599.34,Vif bête roche jeune rompre proposer selon quel cou.,nord / projet
INT_00139,2024-01-08T22:32:28,M002,PREVENTIVE,1.99,TECH_05,530.64,Début santé haine selon endormir choix bête.,
INT_00140,2024-01-23T13:40:27,M001,CORRECTIVE,3.23,TECH_03,1778.06,Honte ventre bande soleil principe trois sourire sein.,fenêtre / expérience
INT_00141,2024-01-20T15:14:45,M001,CORRECTIVE,8.38,TECH_01,1767.41,Drame adresser avec employer partout transformer vol souvenir plaine.,long / autrement
INT_00142,2024-01-16T11:41:31,M002,PREVENTIVE,2.11,TECH_05,326.67,Fait changer devant y famille suivant exprimer grave.,
INT_00143,2024-01-23T01:45:16,M004,PREVENTIVE,2.43,TECH_04,293.69,Centre peser attendre réclamer me.,
INT_00144,2024-01-03T15:30:36,M004,PREVENTIVE,1.73,TECH_03,568.38,Île compagnie difficile plonger avant observer sac loup.,
INT_00145,2024-01-30T07:17:13,M001,CORRECTIVE,8.72,TECH_04,1400.89,Surprendre calmer eh creuser espèce crier sortir passé salle été.,depuis / voir
INT_00146,2024-01-19T02:22:22,M005,CORRECTIVE,4.88,TECH_03,2294.48,Plaine goût quitter abri pourquoi longtemps sec désigner vaincre lit.,observer / complètement
INT_00147,2024-01-18T17:05:41,M005,PREVENTIVE,0.97,TECH_02,546.19,Résultat séparer derrière réduire remercier indiquer donner battre solitude.,
INT_00148,2024-01-26T19:29:20,M004,CORRECTIVE,4.06,TECH_01,2230.52,Précéder mari vêtement plaisir arrière éternel tracer règle.,hier / ajouter
INT_00149,2024-01-01T08:06:18,M002,PREVENTIVE,2.49,TECH_05,611.89,Prêter avec attacher oublier peuple pauvre brûler paquet répandre.,
INT_00150,2024-01-10T14:14:09,M003,CORRECTIVE,6.85,TECH_05,2016.65,Dame haut environ résoudre dehors enfoncer donc en vers.,juger / satisfaire
