ordre_id,produit_id,machine_id,date_debut,date_fin_prevue,date_fin_reelle,quantite_prevue,quantite_produite,taux_rebut_pct
ORD_00054,PROD_D,M004,2024-01-20T09:00:03,2024-01-21T08:16:22.019752,2024-01-21T08:02:02.559032,409,388,2.74
ORD_00055,PROD_C,M005,2024-01-09T09:54:41,2024-01-10T00:19:02.482842,2024-01-10T00:08:23.410490,692,634,2.76
ORD_00056,PROD_B,M002,2024-01-13T03:17:41,2024-01-13T08:16:47.707542,2024-01-13T08:04:51.531699,187,168,1.49
ORD_00057,PROD_E,M003,2024-01-31T12:02:40,2024-02-01T00:11:23.427135,2024-02-01T00:28:20.087774,953,840,1.26
ORD_00058,PROD_A,M004,2024-01-07T17:29:31,2024-01-08T07:04:35.454587,2024-01-08T07:04:49.189212,801,745,3.09
ORD_00059,PROD_D,M003,2024-01-18T04:39:56,2024-01-18T16:04:27.398343,2024-01-18T15:59:04.329391,128,109,2.8
ORD_00060,PROD_A,M005,2024-01-21T10:24:20,2024-01-21T14:21:03.575789,2024-01-21T14:45:28.231408,905,884,3.61
ORD_00061,PROD_E,M002,2024-01-25T20:45:51,2024-01-26T06:58:21.403247,2024-01-26T07:22:21.087936,998,998,1.56
ORD_00062,PROD_A,M003,2024-01-20T01:28:52,2024-01-20T06:15:06.118578,2024-01-20T06:12:52.226722,881,795,2.12
ORD_00063,PROD_D,M005,2024-01-03T15:19:04,2024-01-03T19:10:49.000129,2024-01-03T19:39:59.224811,209,194,2.94
ORD_00064,PROD_E,M003,2024-01-05T17:28:41,2024-01-06T13:33:38.658585,2024-01-06T13:45:04.793034,985,814,3.3
ORD_00065,PROD_A,M001,2024-01-29T09:07:43,2024-01-30T01:57:56.509551,2024-01-30T03:20:12.620266,309,285,3.3
ORD_00066,PROD_B,M005,2024-01-28T06:50:05,2024-01-29T01:07:26.590200,2024-01-29T00:50:51.347101,791,767,1.04
ORD_00067,PROD_C,M002,2024-01-31T11:57:07,2024-01-31T20:47:29.553654,,106,98,0.69
ORD_00068,PROD_E,M004,2024-01-10T17:49:56,2024-01-10T22:21:20.942005,2024-01-10T22:27:34.588389,223,220,3.43
ORD_00069,PROD_A,M005,2024-01-13T00:00:57,2024-01-13T06:30:37.057408,2024-01-13T06:50:34.872637,554,488,2.27
ORD_00070,PROD_A,M004,2024-01-06T21:55:14,2024-01-07T06:31:07.961653,2024-01-07T06:12:10.519846,340,302,3.6
ORD_00071,PROD_C,M005,2024-01-30T17:55:01,2024-01-31T10:54:21.579404,2024-01-31T16:13:33.974062,542,477,1.2
ORD_00072,PROD_A,M002,2024-01-09T23:19:00,2024-01-10T04:26:01.545840,2024-01-10T07:07:06.729604,623,530,2.09
ORD_00073,PROD_B,M005,2024-01-24T02:45:53,2024-01-24T15:20:05.944015,2024-01-24T14:56:06.014883,702,609,1.89
ORD_00074,PROD_C,M004,2024-01-14T08:36:34,2024-01-14T19:12:56.186259,2024-01-14T18:49:22.595280,526,526,1.0
ORD_00075,PROD_B,M004,2024-01-02T08:35:17,2024-01-02T16:49:24.039838,2024-01-02T16:42:45.985671,694,648,3.53
ORD_00076,PROD_A,M003,2024-01-31T02:12:30,2024-01-31T13:59:12.767201,,463,407,2.96
ORD_00077,PROD_D,M002,2024-01-23T06:00:59,2024-01-23T14:06:29.799901,,466,418,3.23
ORD_00078,PROD_E,M005,2024-01-11T05:34:35,2024-01-11T15:15:02.659275,2024-01-11T18:59:06.392286,164,141,2.66
ORD_00079,PROD_B,M002,2024-01-18T01:57:17,2024-01-18T18:23:06.924130,2024-01-18T18:20:41.058408,979,830,3.31
ORD_00080,PROD_C,M002,2024-01-15T16:56:20,2024-01-16T15:15:19.373440,2024-01-16T15:35:40.945213,595,533,5.47
ORD_00081,PROD_D,M004,2024-01-30T09:51:24,2024-01-31T02:21:14.567367,2024-01-31T02:46:53.251451,894,766,2.06
ORD_00082,PROD_C,M005,2024-01-07T06:47:15,2024-01-08T00:08:18.281477,2024-01-08T00:13:08.890465,698,656,2.33
ORD_00083,PROD_D,M005,2024-01-04T06:43:29,2024-01-04T09:42:47.387261,2024-01-04T11:49:38.715054,198,169,2.18
ORD_00084,PROD_D,M001,2024-01-24T03:03:40,2024-01-24T12:10:53.822973,2024-01-24T12:27:12.098920,850,748,2.51
ORD_00085,PROD_A,M002,2024-01-09T10:43:20,2024-01-10T04:44:30.522239,2024-01-10T05:12:54.473257,165,165,1.6
ORD_00086,PROD_E,M001,2024-01-13T03:50:05,2024-01-13T08:21:11.323594,2024-01-13T09:51:47.942294,881,881,2.39
ORD_00087,PROD_E,M003,2024-01-31T15:30:39,2024-02-01T12:00:20.804931,,428,373,2.83
ORD_00088,PROD_D,M001,2024-01-19T07:58:10,2024-01-19T12:54:00.758027,2024-01-19T12:57:24.043619,300,282,3.5
ORD_00089,PROD_D,M003,2024-01-22T05:44:30,2024-01-22T22:40:34.842482,2024-01-22T22:55:06.596546,544,544,2.51
ORD_00090,PROD_B,M005,2024-01-05T04:13:06,2024-01-05T19:01:28.949359,2024-01-05T19:11:36.119058,308,291,2.9
ORD_00091,PROD_B,M001,2024-01-01T06:06:02,2024-01-01T16:00:39.231363,2024-01-01T16:03:26.922396,173,142,2.68
ORD_00092,PROD_B,M003,2024-01-26T15:20:40,2024-01-27T04:15:37.097175,2024-01-27T09:15:10.422923,585,585,2.91
ORD_00093,PROD_C,M005,2024-01-18T07:20:07,2024-01-18T22:56:30.526004,2024-01-18T22:34:46.870735,168,137,3.3
ORD_00094,PROD_D,M004,2024-01-31T08:43:34,2024-01-31T19:00:02.563571,2024-01-31T18:34:43.881273,901,901,1.63
ORD_00095,PROD_C,M005,2024-01-05T21:34:19,2024-01-06T02:09:58.857634,2024-01-06T02:16:04.220141,438,401,1.82
ORD_00096,PROD_B,M001,2024-01-15T01:45:13,2024-01-16T00:02:37.047666,2024-01-16T00:14:48.831596,169,139,1.52
ORD_00097,PROD_C,M002,2024-01-04T15:07:17,2024-01-05T04:52:43.365757,2024-01-05T04:53:47.300874,725,685,3.83
ORD_00098,PROD_C,M005,2024-01-20T09:07:28,2024-01-21T00:44:04.677343,2024-01-21T01:07:35.187499,696,631,0.34
ORD_00099,PROD_C,M004,2024-01-02T10:55:36,2024-01-02T13:38:12.158265,2024-01-02T13:20:13.998790,883,802,2.01
ORD_00100,PROD_B,M001,2024-01-10T21:56:56,2024-01-11T11:59:05.317932,2024-01-11T19:27:14.509341,779,765,3.39
ORD_00101,PROD_B,M001,2024-01-24T23:02:00,2024-01-25T02:38:14.622624,,724,695,2.82
ORD_00102,PROD_C,M001,2024-01-04T10:26:41,2024-01-05T09:20:33.696397,2024-01-05T09:27:18.453940,182,164,1.8
ORD_00103,PROD_D,M005,2024-01-07T06:50:13,2024-01-07T14:47:17.265794,2024-01-07T14:19:25.426099,619,591,4.06
ORD_00104,PROD_C,M002,2024-01-21T22:45:07,2024-01-22T11:15:32.333107,2024-01-22T18:23:38.868088,333,275,1.2
ORD_00105,PROD_A,M001,2024-01-02T06:42:15,2024-01-03T01:43:25.168819,2024-01-03T06:27:46.652519,980,947,1.21
ORD_00106,PROD_A,M004,2024-01-27T19:42:16,2024-01-28T08:18:44.128443,2024-01-28T08:11:22.148562,228,206,1.55
ORD_00107,PROD_D,M004,2024-01-27T16:15:58,2024-01-27T21:17:49.418065,2024-01-27T21:41:39.146289,476,424,4.21
ORD_00108,PROD_B,M003,2024-01-17T15:46:13,2024-01-18T03:22:25.766548,2024-01-18T03:06:21.086877,702,561,0.28
ORD_00109,PROD_B,M001,2024-01-21T01:15:22,2024-01-21T19:42:02.074592,2024-01-22T02:15:10.231816,681,681,2.87
ORD_00110,PROD_A,M001,2024-01-13T03:10:50,2024-01-13T23:03:29.653840,2024-01-13T22:41:05.831060,284,267,4.03
ORD_00111,PROD_A,M003,2024-01-16T05:58:59,2024-01-16T15:40:32.663166,2024-01-16T15:25:11.942806,399,383,2.33
ORD_00112,PROD_E,M002,2024-01-20T07:29:32,2024-01-20T20:01:25.148142,2024-01-20T19:36:01.641944,356,356,2.8
ORD_00113,PROD_B,M005,2024-01-25T00:38:03,2024-01-25T18:08:59.210737,2024-01-26T01:25:59.743159,979,974,1.29
ORD_00114,PROD_D,M002,2024-01-15T16:41:35,2024-01-16T15:24:16.017426,2024-01-16T18:27:11.639462,769,691,1.21
ORD_00115,PROD_E,M002,2024-01-13T23:42:04,2024-01-14T08:42:57.628767,2024-01-14T08:19:13.390185,454,409,1.39
ORD_00116,PROD_E,M004,2024-01-24T14:28:22,2024-01-24T22:37:40.880566,2024-01-24T22:15:54.553925,633,563,1.64
ORD_00117,PROD_C,M002,2024-01-27T20:15:06,2024-01-28T02:53:18.954845,2024-01-28T03:12:17.921799,245,239,1.81
ORD_00118,PROD_B,M001,2024-01-22T08:57:37,2024-01-23T01:15:29.720442,2024-01-23T00:52:20.979528,610,577,2.87
ORD_00119,PROD_C,M001,2024-01-14T11:51:19,2024-01-15T02:47:47.620430,2024-01-15T03:15:41.967738,161,139,1.1
ORD_00120,PROD_E,M003,2024-01-19T15:19:05,2024-01-20T04:12:57.313894,2024-01-20T07:54:30.827791,145,132,3.67
ORD_00121,PROD_B,M002,2024-01-19T09:56:52,2024-01-19T16:00:18.602313,2024-01-19T15:33:26.737058,412,405,2.23
ORD_00122,PROD_E,M001,2024-01-17T21:13:17,2024-01-18T19:50:25.132019,,872,784,3.8
ORD_00123,PROD_C,M003,2024-01-29T16:31:00,2024-01-29T23:16:50.296640,2024-01-29T23:30:23.127256,736,712,1.02
ORD_00124,PROD_D,M004,2024-01-03T18:32:52,2024-01-04T14:18:37.818310,2024-01-04T14:45:46.723247,794,752,2.6
ORD_00125,PROD_E,M003,2024-01-23T12:01:10,2024-01-23T23:20:37.733667,2024-01-24T05:43:36.844905,366,321,2.8
ORD_00126,PROD_D,M002,2024-01-23T16:28:54,2024-01-24T10:53:08.202528,,235,219,2.62
ORD_00127,PROD_C,M001,2024-01-14T07:41:26,2024-01-14T11:34:20.519896,2024-01-14T11:36:54.616299,445,354,1.84
ORD_00128,PROD_D,M005,2024-01-02T20:58:46,2024-01-03T12:31:17.342143,2024-01-03T12:40:50.569940,901,901,2.8
ORD_00129,PROD_A,M005,2024-01-07T00:49:38,2024-01-07T09:34:44.096353,2024-01-07T09:54:53.695620,967,933,2.68
ORD_00130,PROD_D,M002,2024-01-23T11:06:46,2024-01-23T13:29:33.521575,2024-01-23T13:01:46.735121,467,459,3.21
ORD_00131,PROD_E,M004,2024-01-11T13:48:17,2024-01-12T00:47:38.982350,2024-01-12T00:22:25.351166,724,685,0.0
ORD_00132,PROD_C,M005,2024-01-04T02:36:57,2024-01-04T14:18:19.809680,2024-01-04T14:35:32.058229,365,352,2.44
ORD_00133,PROD_B,M004,2024-01-12T00:57:44,2024-01-12T16:49:46.783728,2024-01-12T16:56:51.401224,150,143,3.81
ORD_00134,PROD_A,M002,2024-01-02T20:51:28,2024-01-03T02:54:41.035071,2024-01-03T02:51:06.147041,424,407,2.16
ORD_00135,PROD_E,M001,2024-01-12T01:35:01,2024-01-12T04:55:17.379131,2024-01-12T07:44:05.558832,363,352,3.44
ORD_00136,PROD_C,M001,2024-01-27T05:39:35,2024-01-27T23:27:45.888336,2024-01-27T23:18:44.915078,179,163,3.51
ORD_00137,PROD_D,M005,2024-01-06T11:52:02,2024-01-07T01:06:36.012981,2024-01-07T00:56:08.853547,480,430,3.99
ORD_00138,PROD_A,M004,2024-01-21T16:52:47,2024-01-22T14:08:54.568553,2024-01-22T13:58:30.114503,907,825,3.09
ORD_00139,PROD_C,M003,2024-01-20T19:30:52,2024-01-21T17:15:25.464272,2024-01-21T17:41:58.390654,401,393,2.26
ORD_00140,PROD_A,M005,2024-01-08T18:46:40,2024-01-09T04:52:49.511547,2024-01-09T04:31:49.739259,705,632,3.05
ORD_00141,PROD_A,M001,2024-01-30T13:34:51,2024-01-30T20:14:00.188083,2024-01-30T20:26:56.952777,859,803,0.9
ORD_00142,PROD_E,M005,2024-01-17T16:51:01,2024-01-18T15:31:44.234994,2024-01-18T15:36:41.905478,772,731,2.23
ORD_00143,PROD_D,M002,2024-01-04T19:23:42,2024-01-05T18:24:32.204454,,329,312,1.98
ORD_00144,PROD_E,M005,2024-01-28T21:16:12,2024-01-29T13:08:13.690519,2024-01-29T17:54:35.668593,224,190,2.79
ORD_00145,PROD_A,M005,2024-01-30T11:19:30,2024-01-30T23:42:58.469434,2024-01-30T23:39:26.132124,375,373,2.8
ORD_00146,PROD_E,M002,2024-01-15T05:26:44,2024-01-16T03:29:20.706114,2024-01-16T03:47:17.127547,470,435,3.1
ORD_00147,PROD_D,M002,2024-01-16T06:47:15,2024-01-17T01:14:51.511726,2024-01-17T00:59:19.279042,850,778,2.32
ORD_00148,PROD_C,M004,2024-01-04T20:50:44,2024-01-05T06:35:21.181062,2024-01-05T07:00:13.868905,769,710,3.36
ORD_00149,PROD_E,M004,2024-01-12T04:22:37,2024-01-12T16:15:15.267300,2024-01-12T16:19:24.899416,946,829,3.6
ORD_00150,PROD_E,M002,2024-01-12T21:22:49,2024-01-13T16:27:43.703102,2024-01-13T16:32:48.822312,241,226,1.2
ORD_00151,PROD_C,M005,2024-01-14T22:14:43,2024-01-15T07:45:35.486778,2024-01-15T07:40:06.096824,617,563,2.34
ORD_00152,PROD_E,M002,2024-01-24T23:47:06,2024-01-25T15:42:10.277481,2024-01-25T23:00:07.063681,997,848,2.28
ORD_00153,PROD_A,M004,2024-01-09T02:18:08,2024-01-09T06:57:34.476568,2024-01-09T07:00:50.960172,581,542,3.15
ORD_00154,PROD_B,M001,2024-01-02T15:42:03,2024-01-03T12:02:44.597973,2024-01-03T11:42:45.566268,174,156,4.36
ORD_00155,PROD_E,M002,2024-01-26T16:41:25,2024-01-27T14:53:59.941859,,462,447,2.46
ORD_00156,PROD_D,M002,2024-01-28T00:52:58,2024-01-28T08:11:39.644655,2024-01-28T08:01:52.154511,944,944,2.29
ORD_00157,PROD_E,M003,2024-01-30T13:15:13,2024-01-31T04:49:10.063835,,146,134,2.84
ORD_00158,PROD_C,M001,2024-01-22T19:00:03,2024-01-23T17:02:08.398609,2024-01-23T17:16:34.909535,546,517,2.48
ORD_00159,PROD_D,M003,2024-01-07T12:49:36,2024-01-08T06:57:44.696284,2024-01-08T12:05:21.561195,939,845,2.8
ORD_00160,PROD_A,M005,2024-01-08T09:23:29,2024-01-09T07:05:40.454389,2024-01-09T06:57:52.000460,764,685,1.73
ORD_00161,PROD_D,M004,2024-01-16T13:20:09,2024-01-17T00:59:05.093649,2024-01-17T01:04:22.184809,891,812,1.8
ORD_00162,PROD_B,M001,2024-01-15T10:26:10,2024-01-15T23:17:18.842565,2024-01-15T23:18:22.482075,637,557,2.03
ORD_00163,PROD_E,M005,2024-01-21T17:07:45,2024-01-22T01:24:17.370265,2024-01-22T01:39:43.651037,246,231,3.27
ORD_00164,PROD_B,M001,2024-01-21T21:36:45,2024-01-22T11:02:00.489671,2024-01-22T11:08:56.208661,201,172,2.28
ORD_00165,PROD_C,M003,2024-01-09T00:55:45,2024-01-09T05:32:14.245346,2024-01-09T05:28:34.345626,273,243,1.96
ORD_00166,PROD_C,M003,2024-01-30T10:14:22,2024-01-31T04:48:56.729344,,782,782,3.45
ORD_00167,PROD_B,M003,2024-01-05T15:49:12,2024-01-05T22:22:13.974475,2024-01-06T04:39:16.565889,128,115,2.02
ORD_00168,PROD_A,M005,2024-01-27T04:56:50,2024-01-27T18:46:52.940959,2024-01-27T18:46:11.058180,942,829,0.96
ORD_00169,PROD_C,M001,2024-01-10T20:40:34,2024-01-11T04:52:35.531786,,536,513,1.77
ORD_00170,PROD_E,M004,2024-01-07T03:00:31,2024-01-07T23:17:29.194973,2024-01-07T22:54:03.808529,823,772,0.0
ORD_00171,PROD_D,M001,2024-01-21T23:37:34,2024-01-22T12:28:39.839571,2024-01-22T12:06:52.384502,385,350,2.53
ORD_00172,PROD_C,M001,2024-01-04T20:07:11,2024-01-05T14:29:37.780798,2024-01-05T14:04:05.441985,260,225,2.76
ORD_00173,PROD_C,M005,2024-01-14T09:41:21,2024-01-14T21:39:55.353415,2024-01-15T03:22:11.806617,175,170,3.6
ORD_00174,PROD_A,M003,2024-01-22T00:55:17,2024-01-22T05:07:51.753192,2024-01-22T09:46:48.432591,294,289,3.04
ORD_00175,PROD_A,M005,2024-01-31T19:14:33,2024-02-01T11:02:33.975835,2024-02-01T11:07:44.811978,993,878,3.82
ORD_00176,PROD_B,M002,2024-01-13T21:04:50,2024-01-14T09:25:23.140427,2024-01-14T09:06:36.717910,608,547,1.68
ORD_00177,PROD_B,M003,2024-01-10T15:21:15,2024-01-11T07:19:08.999779,2024-01-11T07:20:07.702199,840,734,4.53
ORD_00178,PROD_A,M002,2024-01-22T02:01:05,2024-01-22T05:29:52.092377,2024-01-22T05:12:22.861475,282,266,3.7
ORD_00179,PROD_D,M001,2024-01-13T18:30:11,2024-01-14T09:59:50.555193,2024-01-14T09:43:55.532026,457,399,1.71
ORD_00180,PROD_E,M004,2024-01-09T17:47:24,2024-01-10T15:06:12.860305,2024-01-10T22:13:43.844945,784,720,0.54
ORD_00181,PROD_D,M004,2024-01-31T14:02:06,2024-02-01T00:39:49.036425,2024-02-01T00:38:40.489014,198,165,3.24
ORD_00182,PROD_A,M002,2024-01-14T22:41:43,2024-01-15T09:55:34.846928,2024-01-15T09:40:25.473457,535,455,2.93
ORD_00183,PROD_B,M001,2024-01-23T13:27:23,2024-01-24T12:29:43.189758,2024-01-24T12:20:34.472630,507,467,3.96
ORD_00184,PROD_D,M002,2024-01-24T17:55:46,2024-01-25T09:09:09.856300,2024-01-25T08:40:54.121470,374,341,1.15
ORD_00185,PROD_B,M005,2024-01-20T20:31:34,2024-01-20T23:51:49.618281,2024-01-21T02:41:42.070654,425,417,1.5
ORD_00186,PROD_D,M004,2024-01-22T10:54:39,2024-01-22T22:15:54.783029,2024-01-22T21:49:11.463147,597,550,2.08
ORD_00187,PROD_C,M002,2024-01-31T21:18:13,2024-02-01T17:18:40.147094,2024-02-01T17:13:15.468649,686,630,3.5
ORD_00188,PROD_E,M002,2024-01-11T00:14:28,2024-01-11T19:23:28.518593,2024-01-11T19:51:34.239259,725,684,2.38
ORD_00189,PROD_B,M003,2024-01-30T08:49:51,2024-01-30T22:42:20.570966,,121,112,0.57
ORD_00190,PROD_A,M004,2024-01-17T04:18:31,2024-01-18T02:22:39.502314,2024-01-18T07:14:52.435913,770,674,1.68
ORD_00191,PROD_E,M001,2024-01-11T05:12:27,2024-01-11T15:10:25.141928,2024-01-11T14:49:50.316408,648,560,2.67
ORD_00192,PROD_B,M004,2024-01-15T02:05:34,2024-01-15T21:43:15.803263,,439,375,1.61
ORD_00193,PROD_B,M004,2024-01-27T20:14:05,2024-01-28T14:22:05.080477,,136,136,2.61
ORD_00194,PROD_E,M001,2024-01-05T23:26:43,2024-01-06T12:28:41.746188,2024-01-06T13:46:27.332418,389,336,2.76
ORD_00195,PROD_A,M003,2024-01-12T03:58:31,2024-01-12T19:52:10.195869,2024-01-12T19:24:11.796719,867,840,2.49
ORD_00196,PROD_D,M001,2024-01-20T10:54:31,2024-01-20T15:47:41.500605,2024-01-20T18:41:05.466866,186,186,2.27
ORD_00197,PROD_A,M001,2024-01-25T11:47:46,2024-01-26T05:40:57.339264,2024-01-26T09:35:24.915858,115,101,3.7
ORD_00198,PROD_E,M005,2024-01-08T08:54:54,2024-01-08T13:01:02.088614,2024-01-08T12:54:30.134653,951,938,2.84
ORD_00199,PROD_C,M005,2024-01-16T17:10:08,2024-01-17T04:31:20.094469,2024-01-17T07:38:14.374685,569,520,2.99
ORD_00200,PROD_A,M002,2024-01-13T19:53:48,2024-01-14T19:13:13.581190,2024-01-14T19:05:49.271799,539,486,2.16
